,Date,Habit,Value
636,2021-04-18,Sobriety,2
637,2021-04-17,Sobriety,-1
638,2021-04-16,Sobriety,2
639,2021-04-15,Sobriety,2
640,2021-04-14,Sobriety,2
641,2021-04-13,Sobriety,2
642,2021-04-12,Sobriety,-1
643,2021-04-11,Sobriety,-1
644,2021-04-10,Sobriety,-1
645,2021-04-09,Sobriety,-1
646,2021-04-08,Sobriety,-1
647,2021-04-07,Sobriety,-1
648,2021-04-06,Sobriety,-1
649,2021-04-05,Sobriety,-1
650,2021-04-04,Sobriety,-1
651,2021-04-03,Sobriety,-1
652,2021-04-02,Sobriety,-1
653,2021-04-01,Sobriety,-1
654,2021-03-31,Sobriety,-1
655,2021-03-30,Sobriety,-1
656,2021-03-29,Sobriety,2
657,2021-03-28,Sobriety,2
658,2021-03-27,Sobriety,-1
659,2021-03-26,Sobriety,-1
660,2021-03-25,Sobriety,-1
661,2021-03-24,Sobriety,2
662,2021-03-23,Sobriety,-1
663,2021-03-22,Sobriety,-1
664,2021-03-21,Sobriety,-1
665,2021-03-20,Sobriety,-1
666,2021-03-19,Sobriety,-1
667,2021-03-18,Sobriety,-1
668,2021-03-17,Sobriety,-1
669,2021-03-16,Sobriety,-1
670,2021-03-15,Sobriety,-1
671,2021-03-14,Sobriety,-1
672,2021-03-13,Sobriety,-1
673,2021-03-12,Sobriety,-1
674,2021-03-11,Sobriety,-1
675,2021-03-10,Sobriety,-1
676,2021-03-09,Sobriety,-1
677,2021-03-08,Sobriety,-1
678,2021-03-07,Sobriety,-1
679,2021-03-06,Sobriety,-1
680,2021-03-05,Sobriety,-1
681,2021-03-04,Sobriety,-1
682,2021-03-03,Sobriety,2
683,2021-03-02,Sobriety,2
684,2021-03-01,Sobriety,2
685,2021-02-28,Sobriety,-1
686,2021-02-27,Sobriety,-1
687,2021-02-26,Sobriety,2
688,2021-02-25,Sobriety,2
689,2021-02-24,Sobriety,2
690,2021-02-23,Sobriety,2
691,2021-02-22,Sobriety,-1
692,2021-02-21,Sobriety,-1
693,2021-02-20,Sobriety,2
694,2021-02-19,Sobriety,2
695,2021-02-18,Sobriety,2
696,2021-02-17,Sobriety,2
697,2021-02-16,Sobriety,2
698,2021-02-15,Sobriety,2
699,2021-02-14,Sobriety,-1
700,2021-02-13,Sobriety,-1
701,2021-02-12,Sobriety,2
702,2021-02-11,Sobriety,2
703,2021-02-10,Sobriety,2
704,2021-02-09,Sobriety,2
705,2021-02-08,Sobriety,2
706,2021-02-07,Sobriety,-1
707,2021-02-06,Sobriety,2
708,2021-02-05,Sobriety,2
709,2021-02-04,Sobriety,2
710,2021-02-03,Sobriety,2
711,2021-02-02,Sobriety,2
712,2021-02-01,Sobriety,2
713,2021-01-31,Sobriety,2
714,2021-01-30,Sobriety,-1
715,2021-01-29,Sobriety,-1
716,2021-01-28,Sobriety,2
717,2021-01-27,Sobriety,2
718,2021-01-26,Sobriety,2
719,2021-01-25,Sobriety,2
720,2021-01-24,Sobriety,2
721,2021-01-23,Sobriety,-1
722,2021-01-22,Sobriety,2
723,2021-01-21,Sobriety,2
724,2021-01-20,Sobriety,2
725,2021-01-19,Sobriety,2
726,2021-01-18,Sobriety,2
727,2021-01-17,Sobriety,-1
728,2021-01-16,Sobriety,2
729,2021-01-15,Sobriety,2
730,2021-01-14,Sobriety,2
731,2021-01-13,Sobriety,2
732,2021-01-12,Sobriety,2
733,2021-01-11,Sobriety,2
734,2021-01-10,Sobriety,-1
735,2021-01-09,Sobriety,-1
736,2021-01-08,Sobriety,-1
737,2021-01-07,Sobriety,-1
738,2021-01-06,Sobriety,-1
739,2021-01-05,Sobriety,-1
740,2021-01-04,Sobriety,-1
741,2021-01-03,Sobriety,-1
742,2021-01-02,Sobriety,-1
743,2021-01-01,Sobriety,-1
744,2020-12-31,Sobriety,-1
745,2020-12-30,Sobriety,-1
746,2020-12-29,Sobriety,-1
747,2020-12-28,Sobriety,-1
748,2020-12-27,Sobriety,2
749,2020-12-26,Sobriety,-1
750,2020-12-25,Sobriety,-1
751,2020-12-24,Sobriety,-1
752,2020-12-23,Sobriety,-1
753,2020-12-22,Sobriety,-1
754,2020-12-21,Sobriety,-1
755,2020-12-20,Sobriety,-1
756,2020-12-19,Sobriety,-1
757,2020-12-18,Sobriety,-1
758,2020-12-17,Sobriety,-1
759,2020-12-16,Sobriety,-1
760,2020-12-15,Sobriety,2
761,2020-12-14,Sobriety,-1
762,2020-12-13,Sobriety,-1
763,2020-12-12,Sobriety,-1
764,2020-12-11,Sobriety,2
765,2020-12-10,Sobriety,2
766,2020-12-09,Sobriety,2
767,2020-12-08,Sobriety,2
768,2020-12-07,Sobriety,2
769,2020-12-06,Sobriety,2
770,2020-12-05,Sobriety,-1
771,2020-12-04,Sobriety,-1
772,2020-12-03,Sobriety,2
773,2020-12-02,Sobriety,2
774,2020-12-01,Sobriety,2
775,2020-11-30,Sobriety,2
776,2020-11-29,Sobriety,-1
777,2020-11-28,Sobriety,-1
778,2020-11-27,Sobriety,-1
779,2020-11-26,Sobriety,-1
780,2020-11-25,Sobriety,-1
781,2020-11-24,Sobriety,2
782,2020-11-23,Sobriety,2
783,2020-11-22,Sobriety,2
784,2020-11-21,Sobriety,-1
785,2020-11-20,Sobriety,2
786,2020-11-19,Sobriety,2
787,2020-11-18,Sobriety,2
788,2020-11-17,Sobriety,2
789,2020-11-16,Sobriety,2
790,2020-11-15,Sobriety,2
791,2020-11-14,Sobriety,-1
792,2020-11-13,Sobriety,2
793,2020-11-12,Sobriety,2
794,2020-11-11,Sobriety,2
795,2020-11-10,Sobriety,2
796,2020-11-09,Sobriety,2
797,2023-01-14,Exercise,-1
798,2023-01-13,Exercise,0
799,2023-01-12,Exercise,2
800,2023-01-11,Exercise,2
801,2023-01-10,Exercise,2
802,2023-01-09,Exercise,2
803,2023-01-08,Exercise,0
804,2023-01-07,Exercise,0
805,2023-01-06,Exercise,0
806,2023-01-05,Exercise,2
807,2023-01-04,Exercise,0
808,2023-01-03,Exercise,2
809,2023-01-02,Exercise,0
810,2023-01-01,Exercise,0
811,2022-12-31,Exercise,0
