Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time,Comment
2021-09-08,Hammer Strength Shoulder Press,Shoulders,120.0,10,,,,""
2021-09-08,Hammer Strength Shoulder Press,Shoulders,120.0,10,,,,""
2021-09-08,Back Extension,Back,130.0,10,,,,""
2021-09-08,Back Extension,Back,160.0,10,,,,""
2021-09-08,Back Extension,Back,130.0,7,,,,""
2021-09-08,Hammer Strength Row,Back,160.0,10,,,,""
2021-09-08,Hammer Strength Row,Back,140.0,10,,,,""
2021-09-08,Hammer Strength Row,Back,120.0,10,,,,""
2021-09-08,Hammer Strength Row,Back,100.0,10,,,,""
2021-09-08,Hammer Strength Row,Back,80.0,10,,,,""
2021-09-08,Hammer Strength Row,Back,80.0,10,,,,""
2021-09-08,Hammer Strength Row,Back,80.0,10,,,,""
2021-09-08,Hammer Strength Row,Back,80.0,10,,,,""
2021-09-08,Hammer Strength Row,Back,80.0,10,,,,""
2021-09-08,Hammer Strength Shoulder Press,Shoulders,100.0,10,,,,""
2021-09-08,Hammer Strength Shoulder Press,Shoulders,100.0,10,,,,""
2021-09-08,Barbell Curl,Biceps,17.5,30,,,,""
2021-09-08,Seated Calf Extension,Legs,145.0,10,,,,""
2021-09-08,Seated Calf Extension,Legs,145.0,10,,,,""
2021-09-08,Seated Calf Extension,Legs,145.0,10,,,,""
2021-09-08,Seated Leg Curl Machine,Legs,115.0,10,,,,""
2021-09-08,Seated Leg Curl Machine,Legs,115.0,10,,,,""
2021-09-08,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-09-08,Hammer Strength Chest Press,Chest,80.0,10,,,,""
2021-09-13,Hammer Strength Row,Back,140.0,10,,,,""
2021-09-13,Hammer Strength Row,Back,120.0,10,,,,""
2021-09-13,Hammer Strength Row,Back,100.0,10,,,,""
2021-09-13,Barbell Curl,Biceps,17.5,30,,,,""
2021-09-13,Seated Leg Press,Legs,145.0,10,,,,""
2021-09-13,Seated Leg Press,Legs,145.0,10,,,,""
2021-09-13,Seated Leg Press,Legs,145.0,10,,,,""
2021-09-13,Hammer Strength Shoulder Press,Shoulders,120.0,10,,,,""
2021-09-13,Hammer Strength Shoulder Press,Shoulders,140.0,10,,,,""
2021-09-13,Hammer Strength Shoulder Press,Shoulders,100.0,10,,,,""
2021-09-13,Hammer Strength Shoulder Press,Shoulders,100.0,10,,,,""
2021-09-13,Hammer Strength Chest Press,Chest,80.0,10,,,,""
2021-09-13,Barbell Curl,Biceps,17.5,30,,,,""
2021-09-13,Seated Leg Press,Legs,145.0,10,,,,""
2021-09-13,Hammer Strength Row,Back,120.0,10,,,,""
2021-09-13,Hammer Strength Row,Back,100.0,10,,,,""
2021-09-13,Hammer Strength Shoulder Press,Shoulders,100.0,10,,,,""
2021-09-13,Hammer Strength Shoulder Press,Shoulders,100.0,10,,,,""
2021-09-13,Barbell Curl,Biceps,17.5,30,,,,""
2021-09-13,Torso Rotation,Abs,115.0,10,,,,""
2021-09-13,Torso Rotation,Abs,115.0,10,,,,""
2021-09-13,Torso Rotation,Abs,115.0,10,,,,""
2021-09-13,Torso Rotation,Abs,145.0,10,,,,""
2021-09-13,Torso Rotation,Abs,145.0,10,,,,""
2021-09-13,Back Extension,Back,100.0,10,,,,""
2021-09-22,Hammer Strength Chest Press,Chest,100.0,10,,,,""
2021-09-22,Hammer Strength Chest Press,Chest,120.0,10,,,,""
2021-09-22,Hammer Strength Chest Press,Chest,100.0,10,,,,""
2021-09-22,Hammer Strength Row,Back,180.0,5,,,,""
2021-09-22,Hammer Strength Row,Back,180.0,5,,,,""
2021-09-22,Hammer Strength Row,Back,140.0,10,,,,""
2021-09-22,Hammer Strength Row,Back,120.0,10,,,,""
2021-09-22,Hammer Strength Row,Back,100.0,10,,,,""
2021-09-22,Hammer Strength Shoulder Press,Shoulders,160.0,10,,,,""
2021-09-22,Hammer Strength Shoulder Press,Shoulders,120.0,10,,,,""
2021-09-22,Hammer Strength Shoulder Press,Shoulders,120.0,10,,,,""
2021-09-22,Incline Hammer Strength Chest Press,Chest,70.0,8,,,,""
2021-09-22,Torso Rotation,Abs,145.0,10,,,,""
2021-09-22,Torso Rotation,Abs,145.0,10,,,,""
2021-09-22,Torso Rotation,Abs,160.0,10,,,,""
2021-09-22,Torso Rotation,Abs,160.0,10,,,,""
2021-09-22,Torso Rotation,Abs,160.0,10,,,,""
2021-09-22,Torso Rotation,Abs,160.0,10,,,,""
2021-09-22,Back Extension,Back,100.0,10,,,,""
2021-09-22,Back Extension,Back,100.0,10,,,,""
2021-09-22,Back Extension,Back,130.0,10,,,,""
2021-10-04,Hammer Strength Chest Press,Chest,100.0,10,,,,""
2021-10-04,Hammer Strength Chest Press,Chest,80.0,10,,,,""
2021-10-04,Hammer Strength Chest Press,Chest,60.0,10,,,,""
2021-10-04,Hammer Strength Chest Press,Chest,40.0,10,,,,""
2021-10-04,Hammer Strength Chest Press,Chest,40.0,10,,,,""
2021-10-04,Hammer Strength Shoulder Press,Shoulders,120.0,10,,,,""
2021-10-04,Hammer Strength Shoulder Press,Shoulders,100.0,8,,,,""
2021-10-04,Hammer Strength Shoulder Press,Shoulders,80.0,10,,,,""
2021-10-04,Hammer Strength Shoulder Press,Shoulders,60.0,10,,,,""
2021-10-04,Hammer Strength Row,Back,100.0,10,,,,""
2021-10-04,Hammer Strength Row,Back,100.0,10,,,,""
2021-10-04,Hammer Strength Row,Back,80.0,10,,,,""
2021-10-04,Hammer Strength Row,Back,80.0,10,,,,""
2021-10-04,Hammer Strength Row,Back,80.0,10,,,,""
2021-10-04,Hammer Strength Row,Back,80.0,10,,,,""
2021-10-04,Hammer Strength Row,Back,100.0,10,,,,""
2021-10-04,Hammer Strength Row,Back,100.0,10,,,,""
2021-10-04,Barbell Curl,Biceps,17.5,40,,,,""
2021-10-04,Seated Leg Press,Legs,160.0,10,,,,""
2021-10-04,Seated Leg Press,Legs,145.0,10,,,,""
2021-10-04,Seated Leg Press,Legs,130.0,10,,,,""
2021-10-05,Hammer Strength Chest Press,Chest,80.0,10,,,,""
2021-10-05,Hammer Strength Chest Press,Chest,80.0,10,,,,""
2021-10-05,Hammer Strength Chest Press,Chest,80.0,10,,,,""
2021-10-05,Hammer Strength Chest Press,Chest,80.0,10,,,,""
2021-10-05,Barbell Curl,Biceps,17.5,50,,,,""
2021-10-05,Hammer Strength Abdominal Crunch,Abs,90.0,10,,,,""
2021-10-05,Hammer Strength Abdominal Crunch,Abs,90.0,10,,,,""
2021-10-05,Hammer Strength Abdominal Crunch,Abs,90.0,10,,,,""
2021-10-05,Lat Pulldown,Back,100.0,10,,,,""
2021-10-05,Seated Leg Press,Legs,145.0,10,,,,""
2021-10-05,Seated Leg Press,Legs,145.0,10,,,,""
2021-10-05,Seated Leg Press,Legs,145.0,10,,,,""
2021-10-05,Hammer Strength Row,Back,140.0,10,,,,""
2021-10-05,Hammer Strength Row,Back,120.0,10,,,,""
2021-10-05,Hammer Strength Row,Back,120.0,10,,,,""
